2009-09-30,NULL
2009-10-01,NULL
2009-10-02,NULL
2009-10-05,NULL
2009-10-06,NULL
2009-10-07,NULL
2009-10-08,NULL
2009-10-09,NULL
2009-10-12,NULL
2009-10-13,NULL
2009-10-14,NULL
2009-10-15,NULL
2009-10-16,0.09419
2009-10-19,NULL
2009-10-20,NULL
2009-10-21,NULL
2009-10-22,NULL
2009-10-23,NULL
2009-10-26,NULL
2009-10-27,NULL
2009-10-28,NULL
2009-10-29,NULL
2009-10-30,NULL
2009-11-02,NULL
2009-11-03,NULL
2009-11-04,NULL
2009-11-05,NULL
2009-11-06,NULL
2009-11-09,NULL
2009-11-10,NULL
2009-11-11,NULL
2009-11-12,NULL
2009-11-13,NULL
2009-11-16,NULL
2009-11-17,NULL
2009-11-18,NULL
2009-11-19,NULL
2009-11-20,0.33798
2009-11-23,NULL
2009-11-24,NULL
2009-11-25,NULL
2009-11-27,NULL
2009-11-30,NULL
2009-12-01,NULL
2009-12-02,NULL
2009-12-03,NULL
2009-12-04,NULL
2009-12-07,NULL
2009-12-08,NULL
2009-12-09,NULL
2009-12-10,NULL
2009-12-11,NULL
2009-12-14,NULL
2009-12-15,NULL
2009-12-16,NULL
2009-12-17,NULL
2009-12-18,0.40047
2009-12-21,NULL
2009-12-22,NULL
2009-12-23,NULL
2009-12-24,NULL
2009-12-28,NULL
2009-12-29,NULL
2009-12-30,NULL
2009-12-31,NULL
2010-01-04,NULL
2010-01-05,NULL
2010-01-06,NULL
2010-01-07,NULL
2010-01-08,NULL
2010-01-11,NULL
2010-01-12,NULL
2010-01-13,NULL
2010-01-14,NULL
2010-01-15,NULL
2010-01-19,NULL
2010-01-20,NULL
2010-01-21,NULL
2010-01-22,NULL
2010-01-25,NULL
2010-01-26,NULL
2010-01-27,NULL
2010-01-28,NULL
2010-01-29,NULL
